idOs;placa;chassi;Latitude;Longitude
10252;QXP0A82;9BWAG45U5MT004915;-22,7995198;-43,293317
10256;QWX0760;9BWAG45U9LT075484;-22,4997665;-44,0915565
10258;QXQ6G73;9BWAG45U9MT011110;-22,8554385;-43,1015761
10259;QXP6B74;9BWAG45UXMT008863;-22,8171153;-43,2381075
10280;QXP0A45;9BWAG45U4MT007076;-23,515533;-46,6224583
10303;QXT4C91;9BWAG45U6MT016068;-22,855525;-43,1018395
10307;QXD4815;9BWAG45U1LT100457;-19,9395385;-43,9331936
10321;QXP4J16;9BWAG45U5MT009600;-19,9749781;-44,0130888
10326;QXD4801;9BWAG45UXLT099910;-19,8541588;-43,9569713
10336;QXP5J25;9BWAG45U7MT009033;-20,1935883;-40,2595441
10343;QXP5J21;9BWAG45U2MT009103;-22,9139011;-43,1692436
10354;QXF6115;9BWAB45UXLT062774;-22,81711;-43,2381856
10355;QWV1B95;9BWAB45U2LT063353;-22,8813645;-43,0976181
10366;QWV1210;9BWAB45U7LT053790;-12,9059621;-38,3411253
10367;QWV1148;9BWAB45U3LT053575;-8,1337725;-34,9157023
10370;QWV1085;9BWAB45U1LT053607;-12,6997255;-38,3049151
10371;QWU5F45;9BWAB45UXLT055761;-8,1336026;-34,9156945
10375;QWV1093;9BWAB45U1LT053784;-12,2582865;-38,9542928
10377;QWU6101;9BWAB45U6LT062934;-16,4401813;-39,0785551
10381;QXP1E40;9BWAB45U0MT008031;-20,2558075;-40,289463
10383;QXF6130;9BWAB45U2LT061702;-22,8812628;-43,0971841
10386;QXP1E44;9BWAB45U2MT008080;-19,6598026;-43,9382585
10403;QWU6177;9BWAB45U9LT062538;-16,4401681;-39,078307
10406;QXF5993;9BWAB45U3LT059621;-19,8543996;-43,9569966
10408;QXM4543;9BWAB45U0MT001306;-22,7995415;-43,293419
10409;QXT2D70;9BWAB45U5MT009398;-12,2581096;-38,9542805
10410;QXT2D77;9BWAB45U7MT007121;-9,6464776;-35,7007551
10411;QXT2D67;9BWAB45U4MT008887;-12,9060418;-38,340799
